label,none,SERRF,none,SERRF
CSH_negESI #503,0.364605863,0.046282442,0.390099044,0.042565036
CSH_negESI #504,0.412234092,0.11965342,0.508915158,0.297736925
CSH_negESI #505,0.41305173,0.039533604,0.493615584,0.088592917
CSH_negESI #506,0.331643762,0.033603202,0.377875459,0.050204427
CSH_negESI #507,0.384037192,0.029533784,0.433980525,0.072733419
CSH_negESI #508,0.365154531,0.067354339,0.425597923,0.045602943
CSH_negESI #509,0.294890849,0.041727036,0.331361323,0.147807565
CSH_negESI #510,0.357205974,0.059368477,0.368724344,0.081790261
CSH_negESI #511,0.294688615,0.047158597,0.278789167,0.054932561
CSH_negESI #512,0.511633152,0.053001832,0.516371558,0.045479385
